"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 13 17:35:16 ICT 2022","Tue Sep 13 17:35:24 ICT 2022","8566","","Login","","","","DEMO_02 Login fail",""
"passed","Tue Sep 13 17:35:31 ICT 2022","Tue Sep 13 17:35:38 ICT 2022","6587","","Google","","","","DEMO_01 Search success on Google",""
"passed","Tue Sep 13 17:35:09 ICT 2022","Tue Sep 13 17:35:16 ICT 2022","6572","","Login","","","","DEMO_01 Login success",""
